S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
CONTIG	k141_551	574	unaligned
CONTIG	k141_406	516	unaligned
CONTIG	k141_203	519	unaligned
CONTIG	k141_349	508	unaligned
CONTIG	k141_146	580	unaligned
CONTIG	k141_117	581	unaligned
CONTIG	k141_464	892	unaligned
CONTIG	k141_494	501	unaligned
CONTIG	k141_262	621	unaligned
CONTIG	k141_59	527	unaligned
CONTIG	k141_175	558	unaligned
CONTIG	k141_291	524	unaligned
CONTIG	k141_553	550	unaligned
CONTIG	k141_118	534	unaligned
CONTIG	k141_350	637	unaligned
CONTIG	k141_380	500	unaligned
CONTIG	k141_31	634	unaligned
CONTIG	k141_323	507	unaligned
CONTIG	k141_88	554	unaligned
CONTIG	k141_465	543	unaligned
CONTIG	k141_148	701	unaligned
CONTIG	k141_524	1123	unaligned
CONTIG	k141_61	520	unaligned
CONTIG	k141_439	741	unaligned
CONTIG	k141_383	635	unaligned
CONTIG	k141_178	766	unaligned
CONTIG	k141_440	500	unaligned
CONTIG	k141_467	694	unaligned
CONTIG	k141_119	1391	unaligned
CONTIG	k141_263	1601	unaligned
CONTIG	k141_63	553	unaligned
CONTIG	k141_384	572	unaligned
463	981	1	519	Methanocaldococcus_jannaschii_NC_001732.1	k141_295	99.81		True
CONTIG	k141_295	519	correct
CONTIG	k141_239	511	unaligned
CONTIG	k141_36	500	unaligned
440010	440625	616	1	Methanocaldococcus_jannaschii_NC_000909.1	k141_441	100.0		True
CONTIG	k141_441	616	correct
CONTIG	k141_468	520	unaligned
CONTIG	k141_180	628	unaligned
CONTIG	k141_412	809	unaligned
CONTIG	k141_501	926	unaligned
CONTIG	k141_469	601	unaligned
CONTIG	k141_210	586	unaligned
CONTIG	k141_181	557	unaligned
CONTIG	k141_123	640	unaligned
CONTIG	k141_330	827	unaligned
CONTIG	k141_242	551	unaligned
CONTIG	k141_39	510	unaligned
CONTIG	k141_530	716	unaligned
CONTIG	k141_67	625	unaligned
CONTIG	k141_561	987	unaligned
CONTIG	k141_470	751	unaligned
1262219	1262960	1	742	Methanocaldococcus_jannaschii_NC_000909.1	k141_211	100.0		True
CONTIG	k141_211	742	correct
